gene_id,PLB1K1,PLB1K2,PLB1K3,PLB1K-rmpA1,PLB1K-rmpA2,PLB1K-rmpA3
b2621,18.559513199080808,17.965492989014752,18.022186339662206,16.210220779591594,16.620097389518147,17.41400122625033
b3123,18.172041757088767,17.779944248046654,17.881683681395472,16.332237860916,16.63051088145479,17.293837813965418
b3708,14.999395640857497,14.635977722044162,14.710947240640166,13.345972826217041,14.43151168109476,15.617212325629122
b2215,14.436416570515535,14.651062011643042,14.825124961437611,13.814685603825604,14.168609248804332,14.102606713988147
b1901,14.675064486942624,14.54281314584768,14.479032883313279,12.888185556893768,14.282529392581157,14.593425722667362
b2597,15.120847316280939,14.938207119530803,14.81691096554799,12.310116576568586,12.953959771652706,13.84724394939678
b1677,14.181060656217094,13.762584744331441,13.827745868869519,13.273015738290239,13.691037906265997,13.897400277109275
b4408,14.65746669827024,14.412829053672889,14.108962009865177,10.030898794677654,11.870247862598383,13.098232977759254
Novel00250,14.189277061922125,13.95731825581534,13.97910867499442,12.386832163075217,12.60521771522516,13.183575177979796
b2096,13.96470439454767,13.776629759897734,13.56209301050364,12.532424781988423,13.460234299322341,13.408204134165702
b2095,13.878525724313931,13.624852781327807,13.451393128378978,12.580320875622752,13.78955037918184,13.39809683957689
b2093,13.593977506961393,13.373872940062903,13.378497300703188,12.586176912835182,13.787875635368977,13.596792900959443
b3556,11.450373807272841,12.195853747911892,12.721897997287455,13.263789725602939,14.571320670078835,13.065114106349911
b2092,13.238722868197263,13.064131576446112,12.97467985997492,12.609015785206003,13.546882567666561,13.599628409100502
b2094,13.275389687808191,12.945092672979348,12.88265627961224,12.095585983894022,13.445424495445817,12.868871163134747
b3707,13.248853269547734,12.667354105826968,12.685050929616924,11.525089251195006,12.976819587378797,13.683663107012295
b0957,11.914746111009267,12.508363449642651,12.86610729710289,13.469185246943624,13.156403609779854,12.850150978263278
b2579,11.51459506368626,11.00075736865067,10.674686509715453,12.641724335831215,13.224274864136403,14.107904677125768
b3926,12.954304950898788,12.773376308305695,12.250636018081982,11.18944866458785,10.813220605024759,12.754425528803083
b2841,12.579261126824022,12.545990034924447,12.208913666677041,11.810544920759046,11.946752203349696,12.189729723186195
b0759,12.538240361454612,12.695992015621638,12.479680525124556,10.875676690508508,11.989845181161305,11.824983090118758
b0757,12.654472160883588,12.597631796057287,12.362757423309922,10.596067658348893,12.270851930359903,11.719950572184125
b1243,12.761826941188204,12.439351382986832,12.175657865557174,11.167952907811989,11.488485784946933,12.344037447189102
b4139,12.48124154263066,12.524868242297483,12.407758512613958,11.024681295368808,12.037810547084513,11.73104094609515
b1656,12.42816324942964,12.418667466353085,12.15967587830384,11.20005589119044,11.286912356204589,12.114168991277214
b1779,10.983513612823886,11.521485058589557,11.057596434884672,12.87746573750093,12.22648894849071,12.328217914417802
b3236,12.056123522934948,11.95297309616341,11.59004108905095,12.261222458419697,11.247594726513299,12.352607636107422
b3927,12.833335557333431,12.74661487865061,12.203862606257283,9.741883692089548,9.51010524709294,11.702404531292899
b3495,12.594400214949752,12.370508548134072,12.475441390658586,10.767282337654462,10.628990371156982,11.621860545965454
b1718,11.538253881006868,11.56446622548034,12.021688124873116,12.32190469980746,12.160734884693754,11.689407622816395
b1900,12.203381879676655,12.158326844115994,11.983305349147862,10.786114932141718,11.74564858535258,11.967226767411423
b1823,12.181932191146151,12.053761128794658,11.874467868311648,11.093628791819,12.197000266803402,11.552843536810382
b4460,11.965974852756732,12.144091581659334,11.887972731701595,10.387475377816816,11.642697495907775,11.915539568300728
b0014,9.858603893367459,10.52969592429347,9.898281184985326,12.95591175616567,11.970691240144088,12.110384116682551
b3426,12.785520326073517,12.361041352274151,11.88502577355432,9.741478142412161,8.934214586693411,11.10671226635304
b0758,12.152198659965697,12.137175668812908,11.956281090227794,10.264738562286567,11.530919560703135,11.222521217429673
b4015,12.266839296749424,12.050459033991423,11.268719599566339,11.935770783023711,9.833656990780685,11.349234965474407
b0756,11.973153995683187,11.799553258482343,11.629676065216403,10.618410002924694,11.95734066970222,11.185625138844287
b0720,12.042375568058844,11.710371973634,11.196982121504904,11.708568907826814,10.159548808949895,12.0322569081976
b0722,12.511668137826348,12.453140816027096,12.073660651595073,10.11076631807479,7.0520743346562025,9.822227331165134
b2240,11.747772575441026,11.971688223566527,11.534046483492007,9.750656542849518,11.638392861555651,11.720313019157107
b1094,11.501292724708778,11.395874519128752,11.69943384874196,11.49064023540316,11.63857753397999,11.382187766160687
b1237,11.332267571910512,11.157500037606644,11.62150649284218,11.53727368466685,11.482883633435149,11.79055624794807
b3544,12.672476945997092,11.919145424112147,10.978707695663912,10.087196181540994,9.654028511556554,11.399611093102315
b1717,10.688925019414475,10.958842805582208,11.174690705727178,12.21281659722324,11.882080899072633,11.279475771537188
b0721,12.335499309368108,12.233050849719596,12.20783233323357,10.17546587586451,7.601492288158776,9.723238571135541
b0733,11.633160831469759,11.482631951337627,11.251933954450724,10.667273800888816,11.251160305205453,11.971561531996292
b1333,12.046558067943613,11.910608999819376,11.904619786887194,10.086577465780797,10.750794134550866,10.817128942166208
b3307,10.029121043779101,10.678583265630134,11.096066686624642,12.435203539488176,11.841321293387251,10.95318349432628
b1800,12.616444508118517,12.115882345314608,11.823853900423309,5.639877141846732,8.923492212790276,9.534022211674332
b3309,9.827698821652275,10.592212129487224,11.06285652336133,12.295185433874463,11.792909971825445,11.053001300874687
b2091,11.085341240714376,10.798979952619444,10.817580715554376,11.164481416260841,11.909335765471964,11.68478177683137
b3403,11.40482862336582,11.43544717402231,11.191445121102499,10.972644094999831,11.464024871106808,11.249062181966531
b0008,11.450984179857791,11.367901332552638,11.204921082579219,10.966035860870575,11.278223478939507,11.35552185949545
b0727,11.330152274598438,10.855656842047583,10.007844015144864,12.04784978364075,9.959573707640118,12.026843892730914
b3985,9.475330127382056,10.163067767615132,10.55167659244656,12.689118166567413,11.617051029054272,10.738305838760176
b4143,9.252208930986356,10.029017830914825,9.34973782917121,12.673714654308707,11.201274234653463,11.714866252148115
b1716,10.579113127824625,10.546546198967626,10.91823847068362,11.948920843227786,11.644714045759576,11.024124534810532
b0812,11.701659392348466,10.765236085036491,10.710664774482494,10.749307530846998,10.977603416898805,11.780969153268344
b0605,10.786805545685334,10.72058911655332,10.874216658680854,11.786687636528194,11.423741013665357,11.216507000806796
b4014,12.098722890058216,11.852613713280624,11.222641421373002,10.923609911327874,9.10206970059329,9.94842308162335
