gene_id,PLB1K1,PLB1K2,PLB1K3,PLB1K-rmpA1,PLB1K-rmpA2,PLB1K-rmpA3
b2239,1559060,1726713,1458327,550283,1994811,1646636
b2935,995316,1385959,1249571,1673875,1711530,1908610
b0880,2504021,1527087,1507053,529419,899746,1952633
b3565,563097,1174836,884900,505302,4009825,1695062
b0882,2320032,2463046,2141008,387673,519731,989240
b4151,1205099,1124447,1294846,805430,2584267,1745984
b3186,463876,824470,1020654,2216125,2577495,1497285
b2572,2477458,1934476,1350479,483614,1380163,926107
b2415,1137649,1048381,990525,2027311,1755403,1564928
b2323,1011072,1343571,1349901,1413498,1586497,1778094
b3510,2296460,1250365,1213381,175546,991921,2550206
b4036,76771,245844,499995,678827,6811575,164305
b4252,1476430,1774615,2149879,605720,1333479,1123697
b4152,1235326,1256820,1292300,786676,2276751,1583914
b2997,1348047,1582030,1605513,481003,1696538,1705991
b4002,4556080,2070919,1709157,1438,7659,64117
b2957,937321,1724777,1805179,410375,1493717,2021577
b0169,454308,766380,1052928,3071194,1934166,1103370
b1002,2076095,1947730,1642225,300358,1171130,1198630
b3298,533297,720076,872726,3131736,1875716,1196801
b2840,2265495,2017348,1572282,448291,1018515,894106
b2242,2002646,1727994,1586633,221564,1360815,1257445
b3041,1713246,1510739,1317369,519435,938615,2067728
b2870,2111711,1861474,2415381,10804,818056,807406
b3306,307264,654968,943032,3432666,1781381,861396
b3300,538646,746669,831707,3432155,1551218,863491
b0623,1808173,1547529,1694711,651853,1152673,1026346
b4172,1360071,1295926,1363037,1116441,1240923,1479143
b0893,1378235,1389367,1364953,944484,1233201,1477055
b3284,2378351,1934083,1918916,335075,495600,715942
b3320,108009,269633,529343,3886218,2248872,626686
b3983,297095,572253,788175,3314867,1667748,961597
b3304,290819,584543,713319,3542892,1619501,810396
b2241,1656466,1644154,1609161,308446,1142217,1195056
b3024,2007309,1311643,976013,878124,886342,1493227
b0440,908542,1229104,1547467,1451305,1221877,1189097
b4255,1728601,1727155,1779048,630387,892334,786413
b0911,527063,889332,1020930,2353793,1518492,1231659
b3098,1453481,995721,725852,1505451,973327,1871789
b4240,134135,139269,99029,3035672,4010582,88707
b4314,725045,871127,940313,1655662,1195390,2069096
b2872,2123702,1537148,2509127,8999,862465,410708
b2243,1961329,1662528,1594579,159388,1180709,811158
b0726,1708234,1451688,862075,1541287,321324,1467703
b3962,2235074,2089947,1874807,446378,187083,510207
b0437,1373549,1304157,1256841,1147538,1099768,1097496
b3231,310655,557399,1000418,2620985,1760099,983591
b2904,1333885,1377629,1253507,742846,1144933,1211411
b3164,1226975,1194077,1105247,970021,1598619,961231
b1824,1563299,1232048,1221280,603392,1506194,917366
b2925,1152867,1210621,1004287,1171040,1195749,1272510
b2905,1479017,1688528,1412141,545714,892898,967236
b1189,2475173,1844578,1141713,852477,102501,537781
b2288,1518268,1307143,1137095,1051617,842270,1096887
b0178,816131,995092,964414,1256523,1468951,1439105
b3314,154186,369298,624132,4155201,1167243,420924
b0741,498121,883740,1014087,2050259,1311093,1122308
b2899,1835226,1679176,1633196,331258,515535,751450
b1641,1287478,1191738,1255901,903680,971706,1117747
b3736,650493,1130031,1077007,2000880,812789,1036468
b3315,134463,287539,574254,4110416,1239202,361404
b4200,235936,506454,734647,2546640,1687063,948509
b3751,1057904,1150109,912360,1046151,995847,1442109
b3709,1619188,1096696,975135,219079,1267584,1398333
b0643,1752989,1638352,1463060,344055,593160,767378
b3230,303227,487706,893355,2460057,1612968,756933
b1256,869835,1312907,1084344,740482,673013,1770679
b3114,102314,378780,188052,16340,4660867,995691
b2343,1183888,1018489,1129139,641134,1148624,1191886
b3317,110875,326402,542168,3639994,1310600,369947
b2696,1637738,1024164,1124457,821617,841152,792099
b3942,745955,869583,650728,878139,691564,2395810
b2287,1304982,1282580,1010095,955452,661539,882379
b0431,1517886,1624613,1312792,1128795,85951,410858
b3316,104254,286694,552335,3647091,1169984,319806
b0114,429858,420922,320825,1301181,765986,2834370
b1612,1702690,1837247,1230140,628602,161121,480940
b1004,1017252,971304,728811,749879,880672,1678689
b3894,1724651,1454403,1661273,398420,218868,511703
b3318,97742,233547,429895,3403107,1423426,379157
b3065,552521,825247,909015,1294725,1455844,905104
b1308,1268128,1231316,1270017,296456,1055507,807203
b1725,1602324,1459731,1395780,258481,526370,659275
b2926,1041350,1198313,1029284,988512,678328,946591
b0438,1040147,959049,850314,1059895,1012869,927931
b4188,1741127,1673244,1484264,137203,428947,359269
b1376,1349487,1232417,1270613,434703,447885,1056410
b2779,452857,418254,389030,1904677,1509533,1109588
b3609,814750,831995,770363,998212,1405936,951146
b3319,96578,220265,409562,3059116,1410607,420952
b3313,184863,384746,495641,3271596,920482,358065
b4189,1927909,1509708,1268540,161173,391713,350142
b3737,747739,1274436,1374191,862450,487463,823560
b3302,214479,434128,570746,2662754,1135904,524209
b3349,1049056,1118494,1016452,653189,881726,818175
b3528,1621076,1713502,1376042,219677,76295,493918
b4396,1409869,1273857,1309239,374132,485744,615732
b3175,631553,773988,1036540,839454,1165484,1010637
b4554,1976063,1275234,1066053,207169,256725,655064
b0814,674048,727952,1009752,1309820,935212,728888
b0115,254416,380201,207361,1092792,713965,2716495
b1093,879503,840954,900479,965899,918249,831978
b1415,1705428,1563466,940797,620328,104980,396146
b0755,705840,667193,586323,1526757,743202,1073920
b2185,388444,811967,1277370,1120156,1059220,640668
b3099,986322,618586,460311,1136847,719674,1361513
b3157,1116467,1188834,1315535,329603,712616,599411
b2795,1125766,1104781,991669,362804,1037941,582481
b4129,742299,641040,578631,960142,1005790,1261068
b3156,1145498,1155856,1138888,320237,682196,642780
b3037,1024653,1019858,969420,494032,827929,710195
b3732,226506,452142,340409,2304715,672919,1049136
b2587,1301980,1186344,1073467,584545,256313,634505
b3178,673069,804907,743049,929422,979252,902812
b3347,778210,765222,682013,1012362,1072088,720393
b2551,670274,1043041,851155,858441,798020,800769
b4142,193673,399830,269969,2383069,909477,850784
b3734,325932,609857,527181,2061983,630636,840366
b3067,345774,459460,355315,1713115,1293205,818891
b4177,610685,619894,680618,981160,1232887,856244
b3781,1034735,991397,1013959,623894,615347,701286
b2614,281343,470037,359107,1980823,1011192,874797
b0473,171395,334931,205682,2403889,811719,1049566
b3928,1020443,866393,908093,558452,716203,901047
b0670,425433,429284,891857,1179755,1350655,673195
b4203,218593,374505,610218,2043873,1146261,534509
b4201,136550,312487,435362,2293059,1212354,521844
b0435,1492873,823152,662230,590016,574564,750655
b3472,1193868,1158796,1102375,384124,414590,634866
b4202,177057,388332,568500,1937161,1243615,553977
b1064,1340903,1148980,997916,317157,389616,670845
b4227,1694135,1154373,548456,425534,181342,826315
b0655,1550875,1343909,908729,303208,172288,505360
b3919,663591,607872,616752,894237,1095659,895596
b0436,309685,525787,668792,1463815,1096298,668276
b0237,929180,835799,770367,588714,852919,717679
Novel00219,1516045,1409603,1028506,45678,231638,445452
b0970,1154929,898152,843026,445453,676552,651624
b3893,1530140,1124426,1104738,278759,167411,428423
b3115,172931,277678,155787,26862,3196520,803189
b3461,802661,782940,813025,528473,811360,819567
b2871,1243563,1009776,1362394,7781,526715,352100
b2880,1285067,871337,1556318,2985,620272,147712
b3294,196024,322714,416724,1994959,1030923,502654
b3931,218238,350485,206395,1734755,1084185,865231
b2996,688705,775413,740285,277260,1035936,844135
b1003,963378,611182,529898,464403,695062,1095611
b1905,526021,577483,795291,668861,758427,1027144
b0064,660013,649198,612963,738371,689341,1002466
b1334,954932,971838,936332,424126,508192,512887
b3945,890683,953427,895921,186934,595291,776867
