gene_id,gene_name,log2_fold_change,padj
b1821,mntP,2.663915672250736,0.0106243197308994
b2960,trmB,1.1068635523140893,0.0241846111879286
b3478,nikC,1.9628505650772048,0.0303664421427839
b1974,yodB,1.159645965522633,0.0303664421427839
b2371,yfdE,1.1964996358107025,0.0303664421427839
b3539,yhjV,1.5236804745246757,0.0347040403703591
b0087,mraY,1.536218046500263,0.0355164669802506
b1109,ndh,1.5942189701753111,0.0355164669802506
b3158,ubiU,1.789106730534952,0.0355164669802506
b1608,rstA,1.0114677934527272,0.0355164669802506
