gene_id,gene_name,mean_control,mean_treatment,log2_fold_change,pvalue,padj,significant
b2621,ssrA,18.18239750925259,16.748106465120028,-1.4342910441325607,0.0232053990930542,0.1007258941969239,False
b3123,rnpB,17.944556562176967,16.752195518778738,-1.192361043398229,0.0178782410426608,0.0901545458420922,False
b3708,tnaA,14.782106867847276,14.46489894431364,-0.3172079235336351,0.6583219978194872,0.7535284207858121,False
b2215,ompC,14.637534514532062,14.02863385553936,-0.6089006589927006,0.017621474394871,0.0894628700047298,False
b1901,araF,14.565636838701195,13.92138022404743,-0.6442566146537647,0.2890212241583888,0.433266427949853,False
b2597,raiA,14.95865513378658,13.037106765872691,-1.9215483679138876,0.0133776698014094,0.081024267299225,False
b1677,lpp,13.923797089806015,13.620484640555173,-0.3033124492508463,0.248951177476535,0.3916203591008375,False
b4408,csrB,14.393085920602768,11.666459878345096,-2.7266260422576707,0.0394804892800828,0.1308629511735685,False
Novel00250,-,14.041901330910628,12.725208352093391,-1.3166929788172368,0.0061314129633056,0.0638463605088533,False
b2096,gatY,13.767809054983012,13.133621071825488,-0.6341879831575259,0.1207944565342271,0.2426703316587339,False
b2095,gatZ,13.651590544673573,13.255989364793828,-0.3956011798797441,0.3534703985117157,0.497608264906079,False
b2093,gatB,13.448782582575827,13.3236151497212,-0.1251674328546279,0.7582833138651474,0.8298174959399157,False
b3556,cspA,12.122708517490729,13.633408167343894,1.5106996498531655,0.0653316138279034,0.1692514564265078,False
b2092,gatC,13.092511434872764,13.251842253991022,0.1593308191182583,0.6553915856989403,0.7518909602803793,False
b2094,gatA,13.034379546799926,12.803293880824862,-0.2310856659750637,0.6027549822851508,0.7098305852783409,False
b3707,tnaC,12.867086101663878,12.728523981862033,-0.1385621198018451,0.844768470298934,0.8950909272808578,False
b0957,ompA,12.429738952584936,13.158579944995584,0.7288409924106496,0.0917725591042613,0.203963763104588,False
b2579,grcA,11.06334631401746,13.324634625697795,2.2612883116803357,0.0100143320665092,0.0736211675363956,False
b3926,glpK,12.65943909242882,11.585698266138564,-1.0737408262902566,0.1638828537272423,0.2947920831775004,False
b2841,araE,12.444721609475172,11.982342282431643,-0.4623793270435268,0.0463214823375351,0.1416149950482682,False
b0759,galE,12.5713043007336,11.563501653929524,-1.0078026468040786,0.0462193038075042,0.1415555942054823,False
b0757,galK,12.538287126750268,11.52895672029764,-1.0093304064526265,0.1141067164365958,0.2342896853871409,False
b1243,oppA,12.458945396577404,11.666825379982674,-0.7921200165947297,0.1119429685210619,0.2312536522367035,False
b4139,aspA,12.471289432514034,11.59784426284949,-0.873445169664544,0.0444183811554349,0.1384372879344388,False
b1656,sodB,12.335502198028854,11.533712412890743,-0.8017897851381086,0.0578895170825932,0.159685404220454,False
b1779,gapA,11.187531702099372,12.477390866803148,1.2898591647037758,0.0080281496100139,0.0687601821559969,False
b3236,mdh,11.866379236049768,11.95380827368014,0.0874290376303701,0.8298706417853292,0.8855110414485396,False
b3927,glpF,12.594604347413773,10.31813115682513,-2.276473190588643,0.0345185989503471,0.121125466840624,False
b3495,uspA,12.480116717914138,11.006044418258966,-1.4740722996551714,0.0096768004293196,0.0729677276242261,False
b1718,infC,11.708136077120107,12.05734906910587,0.3492129919857625,0.2291593470380766,0.3708860979108863,False
b1900,araG,12.115004690980172,11.499663428301908,-0.615341262678264,0.1703838280451904,0.3025489998877114,False
b1823,cspC,12.036720396084151,11.614490865144262,-0.4222295309398891,0.2726037850370979,0.4167049684082069,False
b4460,araH,11.999346388705888,11.315237480675108,-0.6841089080307814,0.2244950932636881,0.3658020202585534,False
b0014,dnaK,10.095527000882084,12.345662370997436,2.250135370115352,0.0039506812580545,0.0574133626048198,False
b3426,glpD,12.343862483967328,9.927468331819538,-2.41639415214779,0.0243149425747768,0.1020818169088855,False
b0758,galT,12.0818851396688,11.006059780139791,-1.0758253595290077,0.0495909397439584,0.1461959057864901,False
b4015,aceA,11.862005976769062,11.039554246426269,-0.8224517303427934,0.3026543298575068,0.446813365921214,False
b0756,galM,11.800794439793975,11.253791937157066,-0.5470025026369107,0.2437431423480846,0.386407355301379,False
b0720,gltA,11.649909887732584,11.300124874991434,-0.3497850127411492,0.6072526441322696,0.7136463241938719,False
b0722,sdhD,12.346156535149504,8.995022661298709,-3.351133873850795,0.0271932349603487,0.1078120481466828,False
