"","PLB1K1","PLB1K2","PLB1K3","PLB1K-rmpA1","PLB1K-rmpA2","PLB1K-rmpA3"
"PLB1K1",1,0.975937899937306,0.964608956754295,0.837859170648487,0.867005930122379,0.926953127142972
"PLB1K2",0.975937899937306,1,0.98018189324153,0.861672226003625,0.895032892812145,0.93938373093292
"PLB1K3",0.964608956754295,0.98018189324153,1,0.861391544270573,0.904241760730074,0.936373107531909
"PLB1K-rmpA1",0.837859170648487,0.861672226003625,0.861391544270573,1,0.929848102295725,0.927475760715181
"PLB1K-rmpA2",0.867005930122379,0.895032892812145,0.904241760730074,0.929848102295725,1,0.946918194108188
"PLB1K-rmpA3",0.926953127142972,0.93938373093292,0.936373107531909,0.927475760715181,0.946918194108188,1
